Parameter Combination,Recall,Precision
max_depth_9_eta_0.2_num_round_5,0.84,0.74
max_depth_9_eta_0.3_num_round_7,0.84,0.75
max_depth_9_eta_0.4_num_round_2,0.84,0.74
max_depth_9_eta_0.4_num_round_9,0.84,0.76
max_depth_9_eta_0.5_num_round_5,0.84,0.74
max_depth_9_eta_0.5_num_round_9,0.84,0.74
max_depth_10_eta_0.2_num_round_5,0.84,0.76
max_depth_10_eta_0.3_num_round_8,0.84,0.73
max_depth_10_eta_0.3_num_round_9,0.84,0.73
max_depth_10_eta_0.4_num_round_4,0.84,0.73
max_depth_10_eta_0.4_num_round_5,0.84,0.74
max_depth_10_eta_0.4_num_round_8,0.84,0.73
max_depth_10_eta_0.5_num_round_8,0.84,0.72
max_depth_4_eta_0.3_num_round_6,0.84,0.76
max_depth_4_eta_0.5_num_round_6,0.84,0.74
max_depth_5_eta_0.1_num_round_3,0.84,0.75
max_depth_5_eta_0.3_num_round_2,0.84,0.74
max_depth_5_eta_0.4_num_round_3,0.84,0.75
max_depth_6_eta_0.2_num_round_5,0.84,0.75
max_depth_6_eta_0.3_num_round_6,0.84,0.74
max_depth_7_eta_0.1_num_round_2,0.84,0.72
max_depth_7_eta_0.2_num_round_1,0.84,0.71
max_depth_7_eta_0.2_num_round_2,0.84,0.73
max_depth_7_eta_0.3_num_round_2,0.84,0.74
max_depth_7_eta_0.3_num_round_3,0.84,0.73
max_depth_7_eta_0.3_num_round_5,0.84,0.73
max_depth_7_eta_0.4_num_round_1,0.84,0.71
max_depth_8_eta_0.1_num_round_1,0.84,0.71
max_depth_8_eta_0.2_num_round_5,0.84,0.75
max_depth_8_eta_0.3_num_round_2,0.84,0.76
max_depth_8_eta_0.5_num_round_8,0.84,0.74
max_depth_9_eta_0.2_num_round_6,0.84,0.76
max_depth_9_eta_0.3_num_round_4,0.84,0.75
max_depth_9_eta_0.3_num_round_6,0.84,0.76
max_depth_9_eta_0.4_num_round_5,0.84,0.76
max_depth_9_eta_0.5_num_round_8,0.84,0.74
max_depth_10_eta_0.1_num_round_5,0.84,0.73
max_depth_10_eta_0.2_num_round_6,0.84,0.75
max_depth_10_eta_0.4_num_round_6,0.84,0.72
max_depth_10_eta_0.5_num_round_2,0.84,0.71
max_depth_10_eta_0.5_num_round_6,0.84,0.72
max_depth_10_eta_0.5_num_round_7,0.84,0.74
max_depth_1_eta_0.3_num_round_9,0.83,0.77
max_depth_3_eta_0.5_num_round_7,0.83,0.74
max_depth_5_eta_0.1_num_round_6,0.83,0.75
max_depth_5_eta_0.2_num_round_5,0.83,0.76
max_depth_6_eta_0.2_num_round_7,0.83,0.75
max_depth_7_eta_0.1_num_round_1,0.83,0.71
max_depth_7_eta_0.1_num_round_6,0.83,0.75
max_depth_7_eta_0.3_num_round_1,0.83,0.71
max_depth_7_eta_0.3_num_round_4,0.83,0.73
max_depth_7_eta_0.5_num_round_1,0.83,0.71
max_depth_7_eta_0.5_num_round_3,0.83,0.74
max_depth_8_eta_0.1_num_round_8,0.83,0.75
max_depth_8_eta_0.2_num_round_9,0.83,0.75
max_depth_8_eta_0.5_num_round_6,0.83,0.75
max_depth_9_eta_0.2_num_round_7,0.83,0.75
max_depth_9_eta_0.3_num_round_3,0.83,0.75
max_depth_10_eta_0.5_num_round_5,0.83,0.72
